time, x, y
6.044,-2.8799071665307867,-3.0799386143365086
6.06,-2.8799071665307867,-3.0799386143365086
6.315,-2.8730269556355874,-3.0989591969929133
6.554,-2.8610917820798405,-3.1317039095310064
6.808,-2.8473540372447843,-3.1691862152586325
7.056,-2.835296284799615,-3.2020905222407707
7.307,-2.8215768315310816,-3.2395218990768124
7.555,-2.8095302990976534,-3.2722564202658355
7.806,-2.79566146559624,-3.309967528611053
8.06,-2.7819550180993504,-3.34715747352084
8.31,-2.7697912056429734,-3.3800783906386447
8.556000000000001,-2.7576543794147037,-3.4129719282655753
8.817,-2.743841457661733,-3.450259272355821
9.054,-2.731673420431805,-3.483058764328006
9.307,-2.717787964177589,-3.520537922641782
9.555,-2.705633519341834,-3.5531736942712677
9.804,-2.693411006804359,-3.5859912547225834
10.054,-2.67948811777795,-3.6233925076564644
10.307,-2.6654928373189994,-3.6608209980633486
10.558,-2.653215187143711,-3.6936683095726432
10.805,-2.6392594235311364,-3.730963932599004
11.054,-2.6333141635502244,-3.7467897539490447
11.314,-2.626329569304671,-3.7650739603499987
11.556000000000001,-2.613744921298668,-3.7977967914157573
11.806000000000001,-2.601257977452497,-3.830147467727761
12.064,-2.5868096541128494,-3.8675249645985033
12.309,-2.5724161147078717,-3.9048075803689675
12.554,-2.5598191890036293,-3.937278626941241
12.812,-2.545301004127848,-3.974705507070657
13.059,-2.532724820122688,-4.007134593254967
13.31,-2.5182238427153525,-4.044371654454015
13.555,-2.5055028952552356,-4.077050349566524
13.804,-2.4910461251708904,-4.114143984373246
14.056,-2.4783327277238985,-4.146667032651209
14.318,-2.4637228909731284,-4.184086295738359
14.555,-2.451072976636145,-4.2163752285404374
14.804,-2.4383063701191454,-4.248917361833173
15.057,-2.4236977415629086,-4.28621518433062
15.316,-2.409100666037066,-4.323299636702267
15.568999999999999,-2.3944519443414882,-4.360515476244424
15.807,-2.38166121925038,-4.393018970577131
16.057,-2.3688521831698313,-4.4254395616724285
16.311,-2.354094952831285,-4.462802202479318
16.556,-2.3413292157713457,-4.495099742185805
16.804,-2.3284676717839874,-4.527534878106623
17.055,-2.313666246021341,-4.564891036478434
17.304,-2.300864337065547,-4.597132701047484
17.556,-2.2860590313852365,-4.634337451689509
17.809,-2.277313186299843,-4.65623970149385
18.062,-2.2767387791423537,-4.65779372891153
18.304,-2.2764793328777864,-4.658838343718962
18.559,-2.2763540998882643,-4.659924676006367
18.811,-2.2763675584699743,-4.660996049529421
19.055,-2.2764939182772657,-4.661916043690752
19.317,-2.2767754942254186,-4.6629621594727775
19.56,-2.2771534981817556,-4.663877611186231
19.813,-2.277840445250198,-4.665064814576188
20.057,-2.278667908277798,-4.666175605299362
20.31,-2.279634119390496,-4.6671760675460465
20.556,-2.2805658255688175,-4.667926073181683
20.814,-2.281635869780028,-4.668596004283702
21.055,-2.2823392282164905,-4.668922622211528
21.304,-2.2832498304288658,-4.669229231176973
21.554,-2.284311195515329,-4.669446712808424
21.808,-2.284831540005083,-4.669502871773926
22.062,-2.2982965428631528,-4.670666564673276
22.306,-2.3330745409453995,-4.674025376759111
22.555,-2.372706098661404,-4.67787429455994
