time,goal_x,goal_y,x,y
0.325,-4,-4,-6.00000725504908,-5.000007165095083
0.5,-4,-4,-5.994546256988524,-4.995678739300126
0.75,-4,-4,-5.960228699345483,-4.969475893407418
1.0,-4,-4,-5.925008254092844,-4.945981941395532
1.25,-4,-4,-5.882540805817889,-4.922073109120227
1.5,-4,-4,-5.844128543433963,-4.904020879842212
1.75,-4,-4,-5.805928481762852,-4.887602119606745
2.002,-4,-4,-5.764233126095824,-4.8660612314770475
2.253,-4,-4,-5.727245807395714,-4.845215103541726
2.5,-4,-4,-5.683433183843432,-4.824412772724841
2.751,-4,-4,-5.6463851638680795,-4.808772070745203
3.001,-4,-4,-5.609209914852684,-4.790663033748789
3.253,-4,-4,-5.573676898004534,-4.770076860672947
3.503,-4,-4,-5.528178232063938,-4.740734486461886
3.75,-4,-4,-5.491012522779088,-4.719999598289171
4.0,-4,-4,-5.446932677960701,-4.699621698525769
4.25,-4,-4,-5.401781525730714,-4.680920835473272
4.5,-4,-4,-5.3648332432987464,-4.662626874558268
4.754,-4,-4,-5.3281690714325185,-4.642404380297519
5.001,-4,-4,-5.289950028846566,-4.624038049496552
5.25,-4,-4,-5.240767358245889,-4.602670213991486
5.5,-4,-4,-5.204381858948839,-4.5835765045869525
5.75,-4,-4,-5.162043701307168,-4.559999459162265
6.0,-4,-4,-5.12359703241158,-4.541998867173062
6.25,-4,-4,-5.086218897910903,-4.526202807217739
6.501,-4,-4,-5.049183440517337,-4.507957740115508
6.75,-4,-4,-5.006902040183837,-4.484251838119767
7.0,-4,-4,-4.963139258565695,-4.463206914347814
7.252,-4,-4,-4.919642939370815,-4.443961472457455
7.505,-4,-4,-4.883080046180694,-4.424633310881696
7.75,-4,-4,-4.850701227835128,-4.404977532072238
8.0,-4,-4,-4.828585167411985,-4.391075774665961
8.25,-4,-4,-4.814512847001326,-4.381740399649481
8.507,-4,-4,-4.81307138794608,-4.380697223802486
8.751,-4,-4,-4.813086749882245,-4.380707127496775
9.0,-4,-4,-4.813101371289366,-4.38071715346523
9.251,-4,-4,-4.8131138723029965,-4.380725612680057
9.5,-4,-4,-4.813126084971534,-4.380733831334886
9.75,-4,-4,-4.813141567010932,-4.380744205738237
10.0,-4,-4,-4.813153438426312,-4.380752134130056
10.25,-4,-4,-4.813165240481216,-4.380759995714816
10.5,-4,-4,-4.813178530142588,-4.380768817796795
10.75,-4,-4,-4.813190273249768,-4.380776557321422
11.0,-4,-4,-4.813201997920838,-4.380784263041316
11.25,-4,-4,-4.813217135426123,-4.380794181392393
11.5,-4,-4,-4.813228907953331,-4.3808018742253765
11.75,-4,-4,-4.8132407349136574,-4.380809583551704
12.0,-4,-4,-4.813254179864884,-4.380818324049273
12.272,-4,-4,-4.813267668498756,-4.380827070057355
12.5,-4,-4,-4.813279430824899,-4.380834678705845
12.75,-4,-4,-4.813291235384,-4.380842298907012
13.0,-4,-4,-4.813302977854954,-4.380849863400336
13.251,-4,-4,-4.813318073918696,-4.380859564844001
13.503,-4,-4,-4.813329775773,-4.380867066802213
13.75,-4,-4,-4.8133431550487575,-4.3808756254439265
14.004,-4,-4,-4.8133547987156495,-4.38088305853855
14.254,-4,-4,-4.8133664599340005,-4.380890488484609
14.5,-4,-4,-4.813379673785134,-4.3808988895686625
14.75,-4,-4,-4.813391258148106,-4.380906239083708
15.0,-4,-4,-4.813402753949027,-4.380913517561632
15.25,-4,-4,-4.813415876334228,-4.380921807236945
15.501,-4,-4,-4.813428891797477,-4.3809300093887735
15.75,-4,-4,-4.813440290310496,-4.380937176512682
16.0,-4,-4,-4.813451586835484,-4.380944266075972
16.253,-4,-4,-4.8134660617964595,-4.3809533276166155
16.5,-4,-4,-4.81347566533291,-4.380959326403569
16.75,-4,-4,-4.813489992373498,-4.380968255498326
17.003,-4,-4,-4.8135010461751255,-4.380975126064574
17.25,-4,-4,-4.813512080713223,-4.3809819675425095
17.503,-4,-4,-4.813524536332091,-4.380989668739217
17.75,-4,-4,-4.813535411578948,-4.380996373182033
18.0,-4,-4,-4.813547677778941,-4.381003912303511
18.25,-4,-4,-4.813558380073448,-4.381010469527833
18.5,-4,-4,-4.813568951992794,-4.381016927064299
18.752,-4,-4,-4.8135824334608595,-4.381025133176249
19.0,-4,-4,-4.813592799172001,-4.381031419992667
19.251,-4,-4,-4.813603113926015,-4.38103765566078
19.5,-4,-4,-4.8136147217151795,-4.381044647732495
19.75,-4,-4,-4.813624826743512,-4.381050711837926
20.0,-4,-4,-4.813634787045251,-4.38105666722173
20.253,-4,-4,-4.813647457560579,-4.381064213559377
20.507,-4,-4,-4.813655805486171,-4.381069169917684
20.75,-4,-4,-4.813665435706425,-4.381074867511685
21.0,-4,-4,-4.813677681955658,-4.381082081677391
21.251,-4,-4,-4.813687108905813,-4.381087609434095
21.5,-4,-4,-4.813697677618846,-4.381093776313807
21.75,-4,-4,-4.81370683866418,-4.381099094882385
22.011,-4,-4,-4.813717182910568,-4.381105049920028
22.252,-4,-4,-4.813727036588489,-4.381110581984523
22.503,-4,-4,-4.813739220297568,-4.381117247793074
22.75,-4,-4,-4.813750057559586,-4.381123096193405
23.0,-4,-4,-4.813762156887388,-4.381129562454645
23.25,-4,-4,-4.813772606943886,-4.381135090912049
23.501,-4,-4,-4.813782830873172,-4.381140445940752
23.75,-4,-4,-4.813795725794022,-4.381147118632164
24.001,-4,-4,-4.813804152740704,-4.381151426901629
24.253,-4,-4,-4.813816536424022,-4.381157677097878
24.502,-4,-4,-4.81382594031877,-4.3811623543723215
24.75,-4,-4,-4.813835195068131,-4.381166895020017
25.004,-4,-4,-4.813845484440286,-4.381171865473002
25.255,-4,-4,-4.813854325208933,-4.38117606339914
25.5,-4,-4,-4.8138641315195585,-4.381180633610659
25.754,-4,-4,-4.813872544051198,-4.3811844765452825
26.0,-4,-4,-4.813880717160985,-4.381188134225806
26.253,-4,-4,-4.813889833780284,-4.381192118844362
26.5,-4,-4,-4.813898649507125,-4.381195866985718
26.75,-4,-4,-4.813907227551042,-4.381199404225689
27.0,-4,-4,-4.813914487662932,-4.38120230336739
27.25,-4,-4,-4.813921566948571,-4.381205038545307
27.501,-4,-4,-4.81392935640081,-4.381207933765501
27.75,-4,-4,-4.813935982757364,-4.38121029308956
28.001,-4,-4,-4.813942370284035,-4.381212467422312
28.25,-4,-4,-4.81395028607859,-4.381215010205527
28.5,-4,-4,-4.813956193717959,-4.381216785484392
28.75,-4,-4,-4.813962695362267,-4.381218597036642
29.021,-4,-4,-4.813968909305547,-4.381220169235822
29.25,-4,-4,-4.813973373764233,-4.381221188688801
29.5,-4,-4,-4.8139790403735025,-4.381222318508057
29.752,-4,-4,-4.813983887566743,-4.381223201624586
30.0,-4,-4,-4.813988620319579,-4.381224007729534
30.25,-4,-4,-4.81399393263249,-4.381224844793596
30.502,-4,-4,-4.813998471827827,-4.381225499939945
30.752,-4,-4,-4.8140041908717865,-4.381226246508783
31.0,-4,-4,-4.8140085406842115,-4.381226755823086
31.25,-4,-4,-4.814012829901723,-4.38122720682425
31.504,-4,-4,-4.814017610613382,-4.381227647041055
31.752,-4,-4,-4.8140223093796255,-4.381228013012131
32.004,-4,-4,-4.81402633623819,-4.381228277676653
32.251,-4,-4,-4.814030313987732,-4.3812284943755175
32.503,-4,-4,-4.81403475567726,-4.381228681945302
32.75,-4,-4,-4.814038592559316,-4.381228794840503
33.0,-4,-4,-4.814042347290315,-4.3812288584428964
33.252,-4,-4,-4.8140465735664835,-4.381228876302535
33.5,-4,-4,-4.814050183697338,-4.381228833104863
33.755,-4,-4,-4.814054721328389,-4.381228692528752
34.0,-4,-4,-4.814058160055255,-4.381228517810005
34.25,-4,-4,-4.814062019031793,-4.381228256417227
34.501,-4,-4,-4.814065318380262,-4.381227977380209
34.75,-4,-4,-4.814068568737826,-4.381227648773558
35.0,-4,-4,-4.814072197723656,-4.381227226474609
35.25,-4,-4,-4.8140753167906505,-4.381226799641499
35.5,-4,-4,-4.81407878913536,-4.38122626063297
35.75,-4,-4,-4.814081784591242,-4.381225743286615
36.001,-4,-4,-4.81408512304752,-4.381225106833192
36.25,-4,-4,-4.814088003006443,-4.381224506190094
36.5,-4,-4,-4.814090808710263,-4.381223863262447
36.751,-4,-4,-4.814094352908375,-4.381222989004599
37.0,-4,-4,-4.814097053879048,-4.3812222747940615
37.252,-4,-4,-4.814099723865618,-4.381221529482874
37.5,-4,-4,-4.814102709367717,-4.38122064924963
37.75,-4,-4,-4.814105649863618,-4.381219727751836
38.0,-4,-4,-4.814108171452828,-4.381218893907256
38.25,-4,-4,-4.814110661849932,-4.381218028199953
38.5,-4,-4,-4.814113442081198,-4.38121701040834
38.751,-4,-4,-4.814116181951117,-4.381215955114287
39.001,-4,-4,-4.81411820114269,-4.381215143420972
39.254,-4,-4,-4.814121176609853,-4.38121389220177
39.502,-4,-4,-4.814123447042575,-4.381212894585631
39.75,-4,-4,-4.81412600611506,-4.381211725825465
40.001,-4,-4,-4.814128201590359,-4.381210682104961
40.25,-4,-4,-4.814130372142007,-4.381209612698022
40.5,-4,-4,-4.8141327958064295,-4.381208370347342
40.752,-4,-4,-4.81413489338568,-4.381207257318454
41.0,-4,-4,-4.81413694089285,-4.381206126908956
41.251,-4,-4,-4.814139246648759,-4.381204808738431
41.5,-4,-4,-4.814141224651601,-4.381203639281811
41.752,-4,-4,-4.814143727402979,-4.38120210949086
42.0,-4,-4,-4.8141456389132795,-4.381200904294293
42.251,-4,-4,-4.814147775993549,-4.381199485726537
42.5,-4,-4,-4.814149529867238,-4.381198159635372
42.75,-4,-4,-4.814151265485954,-4.381196814816592
