time, goal_x, goal_y, x, y 
12.731,4.187175064217,-1.2671825916671962,-6.040055028703538,-2.4997414956208157
12.735,4.187175064217,-1.2671825916671962,-6.040055028703538,-2.4997414956208157
12.986,4.187175064217,-1.2671825916671962,-6.024471993142173,-2.499309376906132
13.24,4.187175064217,-1.2671825916671962,-5.977881189099389,-2.496940571854773
13.484,4.187175064217,-1.2671825916671962,-5.936934287510652,-2.4920413665852617
13.734,4.187175064217,-1.2671825916671962,-5.890424777938115,-2.4828905841061135
13.984,4.187175064217,-1.2671825916671962,-5.851826592835665,-2.4733527546782703
14.234,4.187175064217,-1.2671825916671962,-5.803820627786742,-2.4643227409624617
14.484,4.187175064217,-1.2671825916671962,-5.761752040593975,-2.459630427702041
14.736,4.187175064217,-1.2671825916671962,-5.71427672250651,-2.455489448468201
14.985,4.187175064217,-1.2671825916671962,-5.673593996308294,-2.4490094765319195
15.234,4.187175064217,-1.2671825916671962,-5.6266172440688,-2.4400306498078987
15.484,4.187175064217,-1.2671825916671962,-5.584348175293565,-2.4349399495688218
15.734,4.187175064217,-1.2671825916671962,-5.535794932120753,-2.432718851533873
15.986,-4.612354882284146,-2.061235292809836,-5.488014683196532,-2.4319817206127072
16.234,-4.569247017210161,-2.068286875899525,-5.44678629595099,-2.4295862178063583
16.484,-4.525863298647124,-2.075187286860699,-5.404159347009498,-2.429607812308617
16.74,-4.48517826750169,-2.0837442925630962,-5.355662026730256,-2.433212341793557
16.984,-4.4393857490766475,-2.095703519878698,-5.313558452119632,-2.43952977332088
17.234,-4.399114464033051,-2.1063281816376587,-5.266046796625608,-2.4503549535150433
17.485,-4.3531262574388885,-2.1195393354913477,-5.22555118302578,-2.462863562340316
17.734,-4.313362573855305,-2.134127669155501,-5.180298973650409,-2.480765696668009
17.984,-4.269001876001404,-2.1534235953342398,-5.141929247508839,-2.4993605735454607
18.235,-4.230642071950326,-2.1703322923347157,-5.100215223393595,-2.52245282470398
18.488,-4.187233817187112,-2.1889817750428806,-5.057519102900374,-2.542925568297146
18.734,-4.145674755288514,-2.204749475226504,-5.01914246795936,-2.5579831654051435
18.984,-4.103596605702695,-2.220353575546018,-4.980191386288315,-2.5717030923903477
19.235,-4.064662715267168,-2.235774382381859,-4.935539631930178,-2.590922731754336
19.484,-4.021184466122277,-2.255488753698797,-4.897967160570289,-2.6106415914219436
19.734,-3.9832752250178665,-2.272991811864082,-4.856374295058746,-2.633808970363371
19.984,-3.9399544012492993,-2.2916656570459306,-4.819107203158583,-2.651287058246518
20.234,-3.901042701258529,-2.306410139871229,-4.774918067127871,-2.668057040650284
20.484,-3.8561321229049383,-2.3234084662632304,-4.7349644536158015,-2.681693915543849
20.736,-3.816998069634446,-2.339205546446348,-4.690066085642557,-2.7006183007800995
20.989,-3.773252771002159,-2.359333692583382,-4.646992789908022,-2.723029068616915
21.234,-3.729846413795772,-2.3795052728300696,-4.610869766993085,-2.743600398071903
21.485,-3.6921887367418247,-2.3961731121513337,-4.573752917112946,-2.761656557316493
21.734,-3.6534015134734337,-2.4114370207720754,-4.5298726435578756,-2.7791626020524185
21.984,-3.6088200346109938,-2.429121744441398,-4.490186572572236,-2.7933302474014945
22.234,-3.569792198734702,-2.4454767500431274,-4.44578377212479,-2.8129551349139152
22.484,-3.5270002758837924,-2.466523260641419,-4.408248391165744,-2.8330192829231287
22.735,-3.489588809235847,-2.48542092664201,-4.368267799952203,-2.856330879359272
22.984,-3.447566635937011,-2.5056237238431165,-4.331445688261448,-2.874849191193215
23.234,-3.409943668234023,-2.5213805531955273,-4.287749482581779,-2.89287086237876
23.484,-3.3656089984095106,-2.539617893999494,-4.249747807692798,-2.9066888833204416
23.734,-3.327208118831282,-2.5553763949244805,-4.205027601903756,-2.926061638002514
23.984,-3.282753167730453,-2.5733800497405577,-4.167614927125318,-2.9447302573891827
24.234,-3.2440876414556765,-2.5898472578518748,-4.124110341270423,-2.9632877394896373
24.486,-3.2000370949250594,-2.6089910792230206,-4.084671531261915,-2.97851715570781
24.735,-3.162405018784783,-2.6256085990657834,-4.04059506168923,-2.999193261733525
24.984,-3.1186773120582596,-2.6452893877040387,-4.0048965224009745,-3.0178365279755788
25.234,-3.081354364746904,-2.6613270559918165,-3.9618188897721587,-3.037183542407178
25.484,-3.0371474432824774,-2.678088209132656,-3.923082551061973,-3.051174200911424
25.734,-2.9980188967725914,-2.692731658431918,-3.8772361928446233,-3.0665163439731584
25.99,-2.953154628487419,-2.7109286924657265,-3.8323166421948702,-3.0854028937369122
26.234,-2.9094400263164752,-2.7308981555644927,-3.794671476058272,-3.1048005286027296
26.484,-2.871511780558972,-2.7483952971045604,-3.758260840277032,-3.124963786152023
26.734,3.0,-2.0,-3.72726713929007,-3.138351616820272
26.984,-2.794912898731164,-2.778543666386594,-3.7009857527665466,-3.143391997327369
27.234,-2.794912898731164,-2.778543666386594,-3.6567206078229977,-3.1493523224157474
27.484,-2.794912898731164,-2.778543666386594,-3.615604214094736,-3.1517202588481394
27.734,-2.6784344813441168,-2.8124764521659915,-3.5696260346207147,-3.1526565219570384
27.984,-2.633720763389276,-2.8221766299001585,-3.527188850609581,-3.155905206869744
28.234,-2.5929356659637204,-2.830478860083276,-3.479049058849848,-3.1632874981093906
28.484,-2.5463628775270273,-2.8409599475055947,-3.437590852422235,-3.172868414643764
28.737,-2.5058058388458377,-2.8532332240945104,-3.3912067594979067,-3.1873381649451273
28.985,3.0,-2.0,-3.3670700493141714,-3.196718452692428
29.234,3.0,-2.0,-3.3666489543858615,-3.1968992130384892
29.485,3.0,-2.0,-3.366338629466438,-3.1970496465487117
29.735,3.0,-2.0,-3.3659817443867963,-3.197246596431978
29.984,3.0,-2.0,-3.365667254635142,-3.1974428441187115
30.234,3.0,-2.0,-3.3652976806679127,-3.1977023668234827
30.484,3.0,-2.0,-3.3649648940527497,-3.1979645066855356
30.734,3.0,-2.0,-3.3645688575566157,-3.1983118536224864
30.993,3.0,-2.0,-3.3639449403643997,-3.1989416458353355
31.234,3.0,-2.0,-3.362676111102654,-3.2003462997119656
31.484,3.0,-2.0,-3.3618129414910833,-3.2013500593004722
31.734,3.0,-2.0,-3.361394637839858,-3.201875797649018
31.984,3.0,-2.0,-3.3610496864618873,-3.2023582393442513
32.234,3.0,-2.0,-3.3606865502533423,-3.202924281052494
32.484,3.0,-2.0,-3.360403161611109,-3.2034187798870355
32.734,3.0,-2.0,-3.3601186619655774,-3.203976649445994
32.984,3.0,-2.0,-3.359904353897955,-3.204445718262364
33.234,3.0,-2.0,-3.3598214965345967,-3.20461252437695
33.484,3.0,-2.0,-3.359721999459321,-3.2048963630792233
33.737,3.0,-2.0,-3.359594209149523,-3.2053210748082908
33.984,3.0,-2.0,-3.359502865190619,-3.2056789866859168
34.234,3.0,-2.0,-3.359420868057571,-3.2060729446457024
34.49,3.0,-2.0,-3.3593596182845245,-3.206460731054434
34.734,3.0,-2.0,-3.3593225187835594,-3.2067983142762544
34.984,3.0,-2.0,-3.3593005686439525,-3.207137965242384
35.234,3.0,-2.0,-3.3592941094007642,-3.2075198154464353
35.485,3.0,-2.0,-3.359303911204503,-3.2078336711525104
35.734,3.0,-2.0,-3.359335451019634,-3.208212264503172
35.984,3.0,-2.0,-3.3593815364920108,-3.20855171130249
36.237,3.0,-2.0,-3.3594571847039236,-3.2089495372584933
36.484,3.0,-2.0,-3.359545154566033,-3.2093063687929537
36.734,3.0,-2.0,-3.359675222194967,-3.209732495861704
36.989,3.0,-2.0,-3.3598422537461925,-3.2101823022966705
37.234,3.0,-2.0,-3.360019372693591,-3.2105938568909775
37.487,3.0,-2.0,-3.360292701645942,-3.2111429801922577
37.734,3.0,-2.0,-3.360962898012303,-3.2122960898196147
37.984,3.0,-2.0,-3.3614177684483635,-3.2130314656433168
38.234,3.0,-2.0,-3.3617936214075557,-3.213579051181505
38.484,3.0,-2.0,-3.3621490399501326,-3.214044206041227
38.734,3.0,-2.0,-3.362577560769169,-3.2145501178988627
38.985,3.0,-2.0,-3.3629612261671378,-3.214959765670127
39.24,3.0,-2.0,-3.363401494352471,-3.215386583622454
39.484,3.0,-2.0,-3.3637533241827384,-3.2156996931615325
39.734,3.0,-2.0,-3.3633862366899647,-3.2154440526091146
39.984,3.0,-2.0,-3.363232978959504,-3.2153393456183723
40.236,3.0,-2.0,-3.3635839069111317,-3.2155800195779016
40.484,3.0,-2.0,-3.3638923129227427,-3.2157734526603843
40.734,3.0,-2.0,-3.3642386472184262,-3.2159698039980222
40.985,3.0,-2.0,-3.364541439453048,-3.216123776941494
41.234,3.0,-2.0,-3.3648933155527385,-3.2162823688124296
41.484,3.0,-2.0,-3.3652073605457438,-3.2164060848776916
41.734,3.0,-2.0,-3.365577634918403,-3.216531369188058
41.984,3.0,-2.0,-3.3659111523203777,-3.2166259876392975
42.235,2.263368354353162,-3.871796945031527,-3.384923242438995,-3.21989795364558
42.484,2.263368354353162,-3.871796945031527,-3.4252061504618974,-3.2275395115545655
42.734,3.0,-2.0,-3.4575378430387196,-3.2358127970137245
42.984,3.0,-2.0,-3.4608156764890277,-3.2367827078520715
43.236,3.0,-2.0,-3.461134726735789,-3.236876490016325
43.484,3.0,-2.0,-3.461447403551862,-3.2369514927804346
43.736,1.1823703109068497,-0.08885442529429,-3.473548072615269,-3.238010013994921
43.984,1.1823703109068497,-0.08885442529429,-3.510801142025021,-3.236720323651888
44.235,1.1823703109068497,-0.08885442529429,-3.5590119043211037,-3.231357513944167
44.484,1.1823703109068497,-0.08885442529429,-3.6007586971570307,-3.223381984100581
44.736,1.1823703109068497,-0.08885442529429,-3.6477843663522953,-3.210680664016012
44.984,1.1823703109068497,-0.08885442529429,-3.6877841031184766,-3.19656615775546
45.235,1.1823703109068497,-0.08885442529429,-3.732273496851636,-3.1768960339694283
45.498,1.1823703109068497,-0.08885442529429,-3.775236391228167,-3.153632827870514
45.734,1.1823703109068497,-0.08885442529429,-3.810767030055788,-3.1307337238273276
45.984,1.1823703109068497,-0.08885442529429,-3.844866191855772,-3.1051624333867984
46.237,1.1823703109068497,-0.08885442529429,-3.881449180485088,-3.0732430328123144
46.485,1.1823703109068497,-0.08885442529429,-3.9154203384994846,-3.0382892067230087
46.734,1.1823703109068497,-0.08885442529429,-3.9426658244856725,-3.00573115882034
46.984,1.1823703109068497,-0.08885442529429,-3.9675928735651387,-2.971324024345345
47.234,1.1823703109068497,-0.08885442529429,-3.9930364183628546,-2.9299277807921613
47.484,1.1823703109068497,-0.08885442529429,-4.0126068717300125,-2.8920277801812193
47.737,1.1823703109068497,-0.08885442529429,-4.031574199813885,-2.8473735389657957
47.984,1.1823703109068497,-0.08885442529429,-4.045251491462148,-2.807011790070518
48.235,1.1823703109068497,-0.08885442529429,-4.057406361324806,-2.7599664770515804
48.484,1.1823703109068497,-0.08885442529429,-4.0649330878731575,-2.7180722807247686
48.734,1.1823703109068497,-0.08885442529429,-4.069948382440484,-2.6696874289463266
48.987,1.1823703109068497,-0.08885442529429,-4.071203643378951,-2.6271296020081154
49.234,1.1823703109068497,-0.08885442529429,-4.06898774738098,-2.5785908599430383
49.484,1.1823703109068497,-0.08885442529429,-4.063901174523762,-2.536258978772462
49.734,1.1823703109068497,-0.08885442529429,-4.054450150295579,-2.48870460785441
49.984,1.1823703109068497,-0.08885442529429,-4.0429822361241685,-2.4476737528482015
50.236,1.1823703109068497,-0.08885442529429,-4.026450607952398,-2.4020100224932603
50.486,1.1823703109068497,-0.08885442529429,-4.00892841298581,-2.3632693312991666
50.734,1.1823703109068497,-0.08885442529429,-3.985575655952271,-2.320506712993169
50.984,1.1823703109068497,-0.08885442529429,-3.962530906269548,-2.284931676565644
51.234,1.1823703109068497,-0.08885442529429,-3.9330136362753505,-2.2462479028522733
51.484,1.1823703109068497,-0.08885442529429,-3.904726408424744,-2.2143795068103826
51.734,1.1823703109068497,-0.08885442529429,-3.869873315617936,-2.1806800814909897
51.991,1.1823703109068497,-0.08885442529429,-3.832183284897649,-2.1496693401569176
52.234,1.1823703109068497,-0.08885442529429,-3.7975659635218846,-2.1252788609603166
52.487,1.1823703109068497,-0.08885442529429,-3.7557049883078624,-2.1003085991721466
52.734,1.1823703109068497,-0.08885442529429,-3.7176974141568166,-2.0813334458623087
52.984,1.1823703109068497,-0.08885442529429,-3.678487250203791,-2.065024736108379
53.234,1.1823703109068497,-0.08885442529429,-3.6322863139519614,-2.0498060234233644
53.485,1.1823703109068497,-0.08885442529429,-3.5930502696755173,-2.0386350927845376
53.735,1.1823703109068497,-0.08885442529429,-3.5484735649170536,-2.0227154314333773
53.984,1.1823703109068497,-0.08885442529429,-3.510918767939864,-2.005951864226766
54.235,1.1823703109068497,-0.08885442529429,-3.4671124762749956,-1.984891696030371
54.484,1.1823703109068497,-0.08885442529429,-3.4276755309681874,-1.9692165543113933
54.734,1.1823703109068497,-0.08885442529429,-3.383911880387576,-1.953378601654114
54.986,1.1823703109068497,-0.08885442529429,-3.3461295234434507,-1.936902795775399
55.242,1.1823703109068497,-0.08885442529429,-3.3025439410033477,-1.9151201373446682
55.484,1.1823703109068497,-0.08885442529429,-3.263455836508443,-1.8983112785076148
55.734,1.1823703109068497,-0.08885442529429,-3.217438541494637,-1.8824219448439146
55.984,1.1823703109068497,-0.08885442529429,-3.1786795342313554,-1.8709418454875608
56.234,1.1823703109068497,-0.08885442529429,-3.134439537349672,-1.8546831694000747
