time, x, y
5.784,-2.8798952400954674,-3.0799320241512627
5.786,-2.8798952400954674,-3.0799320241512627
6.036,-2.8747629732479902,-3.094155818774652
6.286,-2.8611225956643795,-3.1315478673637607
6.536,-2.8490813710842056,-3.164382344303605
6.786,-2.835313530252784,-3.201928892632862
7.036,-2.823288638070328,-3.234733506768254
7.286,-2.8095342283378715,-3.2720901797412445
7.536,-2.797370244977495,-3.3051393942339455
7.786,-2.7836548734103452,-3.3423606984292746
8.036,-2.7714959459066955,-3.375251777213177
8.303,-2.7576328025692836,-3.4127977806418635
8.536,-2.7455316882749314,-3.4454533025777088
8.786,-2.731639948419935,-3.4828798022621816
9.04,-2.7194461236727094,-3.515795125675411
9.287,-2.705588431489705,-3.552991499865849
9.538,-2.6933084374208636,-3.585948337633854
9.788,-2.6794312676364442,-3.6232111149505477
10.045,-2.667168241833498,-3.655999465317915
10.298,-2.6531523721766126,-3.6934846143982956
10.541,-2.640928131521691,-3.7261543874549363
10.789,-2.6269193884143776,-3.7634587946685607
11.037,-2.6145462173936393,-3.796437583147328
11.292,-2.6005946290595916,-3.8335250242194046
11.539,-2.58820968965636,-3.8663734684137374
11.792,-2.574149493147716,-3.9037289404804816
12.041,-2.5617974923725875,-3.9363739187259577
12.286,-2.5476519942362024,-3.9737514728674013
12.546,-2.5335325726829834,-4.011078395226425
12.787,-2.5211540188759125,-4.043664423169803
13.038,-2.5086551315879873,-4.076572825012152
13.292,-2.4945538240629266,-4.113683112807251
13.543,-2.4820669148248906,-4.146423508081642
13.788,-2.467811177187932,-4.183830764207792
14.041,-2.4553800515490876,-4.216379309744803
14.302,-2.4411178191166347,-4.253633678305246
14.54,-2.428551916226077,-4.286509240636421
14.797,-2.41435164567173,-4.323500178176353
15.041,-2.401746370117445,-4.356306794248661
15.29,-2.387487055881713,-4.393459788327506
15.536,-2.3748978148637114,-4.426106706470096
15.788,-2.360507185937268,-4.463430209252955
16.044,-2.347945463310999,-4.496012216094695
16.299,-2.3335713995545753,-4.533147806036557
16.537,-2.320863219246461,-4.565996080770936
16.796,-2.3065387812867697,-4.602968389792444
17.04,-2.2938352225510013,-4.635665978532621
17.306,-2.2793650098867153,-4.672964063750193
17.545,-2.2667210683652956,-4.705421480466638
17.791,-2.252212917302861,-4.742628588783372
18.046,-2.239498122424957,-4.77529126531366
18.286,-2.2250192456294733,-4.812292725581128
18.539,-2.212199255515441,-4.8450548802175
18.786,-2.19772108841345,-4.882063297837011
19.039,-2.1849200722528144,-4.914656417947916
19.289,-2.1702930912771277,-4.9519135854593
19.54,-2.157539332400054,-4.984366369852578
19.789,-2.142921509844278,-5.021450559253493
20.045,-2.130017106151071,-5.054222003292362
20.291,-2.1154652074626736,-5.091070470077253
20.538,-2.1025464334824706,-5.123726323901694
20.788,-2.087900500961988,-5.160804114460247
21.04,-2.075009731443517,-5.193278728879283
21.289,-2.060259718504866,-5.230435284419109
21.539,-2.047368596133287,-5.262934474384761
21.789,-2.0326421550587823,-5.299904820160294
22.036,-2.0196154715028265,-5.332616251490857
22.289,-2.0049262328009245,-5.369478453871291
22.536,-1.9919147000577497,-5.40202638870064
22.788,-1.9770670153350662,-5.4392010392196655
23.037,-1.9641197080457709,-5.471534659414371
23.288,-1.9492614298293494,-5.508570778422381
23.538,-1.9359427861420604,-5.537645682047859
23.791,-1.91198011439401,-5.56512640573852
24.051,-1.8811022859296,-5.583345609921944
24.295,-1.8493757654528815,-5.591136315817538
24.539,-1.816321924533054,-5.5919346364551705
24.786,-1.7788927215001182,-5.5851005410778285
25.039,-1.747375503439894,-5.573309323852709
25.294,-1.7144541204558204,-5.5546074850864375
25.543,-1.6876380859885007,-5.533925909109783
25.788,-1.659836976686202,-5.506726991278384
26.037,-1.6378756820530744,-5.480361533669606
26.293,-1.6159459513545988,-5.448754754590599
26.541,-1.596545495678969,-5.419584671171965
26.786,-1.574406483894224,-5.386507613227166
27.043,-1.5549372958206742,-5.357382133810792
27.298,-1.532832235874351,-5.324306698776594
27.539,-1.5132965737022406,-5.295235863601926
27.788,-1.4910925390802632,-5.26212186935362
28.046,-1.4688190087286213,-5.228975963018588
28.29,-1.449346380048685,-5.200087268866995
28.537,-1.4297595553485576,-5.170958267381121
28.789,-1.4075018878056187,-5.137991823667894
29.039,-1.3879106688335736,-5.10901251480302
29.294,-1.3656369648816822,-5.07599377387905
29.536,-1.3459539656238986,-5.046991907286635
29.789,-1.3236266443070204,-5.014061402174131
30.04,-1.3040082053886746,-4.985096189939812
30.291,-1.2815859213410992,-4.952181372828849
30.536,-1.2618705312750316,-4.923183840152811
30.791,-1.2394837142918484,-4.890296139352027
31.039,-1.2197316968332812,-4.861401404960958
31.292,-1.1972577580817176,-4.828442153680681
31.537,-1.177504886002457,-4.799573366607851
31.789,-1.155011480010142,-4.766762484496318
32.038,-1.135202808331851,-4.737794122149457
32.288,-1.1126582601896307,-4.7050107541564605
32.54,-1.0928409735592866,-4.676182651379766
32.793,-1.0703236596627619,-4.64338679110901
33.037,-1.0504129880210908,-4.6145596072483634
33.295,-1.0277943771050342,-4.581745581995304
33.542,-1.007933688143885,-4.552946793881703
33.787,-0.9852647311300282,-4.520230493603102
34.047,-0.9624979398852478,-4.487289533023961
34.291,-0.9426481640205786,-4.45866882772542
34.536,-0.922684086999335,-4.429940382904086
34.786,-0.8999621209519687,-4.397158796306762
35.038,-0.8799532329351719,-4.368447086914996
35.289,-0.8572144173308772,-4.335813576150413
35.538,-0.8372226902101985,-4.3070685479957955
35.786,-0.8144004215306216,-4.274454841119894
36.036,-0.7943258687906083,-4.245720592123811
36.291,-0.7715360042349068,-4.213105341082539
36.536,-0.7514144500098267,-4.184451216513007
36.786,-0.7285329394084024,-4.151791420428556
37.038,-0.7084323671768011,-4.123160437346694
37.287,-0.6855243271826943,-4.090633651013038
