,time, goal_x, goal_y, x, y 
323,93.235,-6.5806687907026005,-0.4977126949573738,-6.787011854394743,-1.2097265903746894
552,150.697,-1.4268432176810095,-2.46862773897142,-1.938315367187572,-2.803936940088476
403,112.643,-1.9421660850881333,-2.985216606345898,-2.505107724900964,-2.798571193674247
732,194.875,-6.405549936004541,-3.2072213672820373,-6.435353788030804,-3.133196277753625
421,117.771,-3.566967874932046,-2.47590436668548,-4.103887933094335,-2.4143789460210536
764,203.567,-7.146630826498225,-0.7343633108234497,-7.011691366145234,-0.689286550497681
281,82.084,-7.439754966550164,-0.6550366445203757,-7.611291213019187,-0.6083643355138116
224,68.522,-7.7668896402502545,-0.6568312074698638,-7.590704034825666,-0.58886256481613
675,181.136,-4.654560590014571,-2.6798007155847148,-5.332458928441935,-2.865905472171471
511,139.669,0.2224108358579602,-2.215823203125073,-0.105062759331072,-1.5708768200656096
672,180.442,-3.322956340538981,-2.536790644513129,-3.950785166181343,-2.3282101383115883
749,199.77,3.788234266201663,-2.7775049077721987,3.126368997324847,-3.0509141836612934
830,219.398,3.0,-2.0,-2.982093055428789,-2.518225749178799
531,144.669,-6.006455221993464,-2.9365096510614443,-6.165834259502903,-2.6573424772804124
483,133.19,-6.893151055126453,-2.251687881397434,-6.957381067239672,-2.8180808251990843
375,105.662,-7.045860037684397,-1.26111227680203,-7.194918915070506,-0.5412593751255231
539,147.275,-6.085135346925487,-2.9624404906711668,-6.178363833318731,-2.6618967152842994
937,247.411,-0.5624961637194127,-2.0294814766274194,-0.8295829264193986,-2.537026978330112
404,112.911,-7.268736429229119,-0.8450740773498633,-7.235827433235216,-0.8433135930915131
507,138.621,-6.932511687248661,-1.29231374399466,-6.808811008793491,-0.9578449681511584
310,89.419,-7.376384521284783,-0.4807015302018009,-7.600874873846473,-0.4610136688769326
441,122.861,-7.684481154642332,-0.6359662938981714,-7.939010339633774,-0.5774589263251186
2577,656.809,-7.284500567240109,-0.5200386896557884,-7.260455636952492,-0.5226806725761964
326,94.031,-3.923076324755415,-2.5826707003062785,-4.5284418853904524,-2.4558916328997697
1271,330.942,-0.9235049425409848,-2.1975144184262523,-1.2898365913045882,-2.74228512633891
422,118.015,-7.600664909302375,-0.5670639070183356,-7.515693194151788,-0.567911640748578
945,248.797,-6.4491749207432,-2.3371746470016994,-6.088607086176515,-2.9724220417636027
537,146.82,-7.458958134348621,-0.7900060210052132,-7.353294151183745,-0.7433717531272891
798,211.402,1.5245334050828574,-2.634917043117435,0.9686178956768532,-2.624229076220638
489,134.712,-7.570344468670726,-0.7098627023427097,-7.435558510216374,-0.691279495215497
433,120.769,-4.71274104968651,-2.6616109627392945,-5.072931053942766,-2.782404112690909
364,103.559,-6.190234333290979,-2.9064798998088457,-6.338248921722827,-2.521052309779777
343,97.657,-6.179368004794978,-2.889657536821187,-6.241396344257186,-2.6126497736432577
377,106.813,-3.5057084423573173,-1.870690098310433,-3.540988713070678,-1.642208066368754
15503,3888.264,1.787508349928057,-4.416845182342819,4.049698197602601,-2.5395063816174286
755,201.956,-1.6260353347978154,-2.8451273149016467,-2.3480040271304103,-3.017328487284148
1228,319.464,-6.752185491075792,-2.035392014631511,-6.656429939924725,-2.223055063865933
758,201.982,1.550500386522042,-2.103216582066892,0.9116899077147792,-2.4396412044056577
1092,285.577,-0.1694819027990084,-2.042863790667204,-0.4111506005175633,-2.6817974233335886
