time, goal_x, goal_y, x, y 
12.365,1.3965965862612353,-1.7138704987914748,-4.019776821936182,-1.329866231173951
12.366,1.3965965862612353,-1.7138704987914748,-4.019776821936182,-1.329866231173951
12.615,1.3965965862612353,-1.7138704987914748,-4.014619977686835,-1.3440705490194125
12.867,1.3965965862612353,-1.7138704987914748,-3.997489685539542,-1.3869141536489293
13.115,1.3965965862612353,-1.7138704987914748,-3.979380751907155,-1.423959250790862
13.365,1.3965965862612353,-1.7138704987914748,-3.9554503207172114,-1.4648325421862431
13.615,1.3965965862612353,-1.7138704987914748,-3.932082639978177,-1.4986738869215586
13.865,1.3965965862612353,-1.7138704987914748,-3.9023482050684457,-1.5353899066753893
14.121,1.3965965862612353,-1.7138704987914748,-3.874026691183764,-1.5655341433563403
14.365,1.3965965862612353,-1.7138704987914748,-3.839268027123484,-1.5972948048122464
14.615,1.3965965862612353,-1.7138704987914748,-3.806780589308416,-1.6228241089685886
14.865,1.3965965862612353,-1.7138704987914748,-3.767573883138711,-1.6491927466190148
15.115,1.3965965862612353,-1.7138704987914748,-3.7317306317219505,-1.6695575951865205
15.365,1.3965965862612353,-1.7138704987914748,-3.6889627551729682,-1.689795029180436
15.616,1.3965965862612353,-1.7138704987914748,-3.6505291665428468,-1.7046403466927085
15.866,1.3965965862612353,-1.7138704987914748,-3.6053277572678364,-1.718273968842965
16.115,1.3965965862612353,-1.7138704987914748,-3.564966590244284,-1.7273036883085902
16.365,1.3965965862612353,-1.7138704987914748,-3.5183283054812473,-1.7341078614101189
16.615,1.3965965862612353,-1.7138704987914748,-3.477123069246927,-1.7370484903434593
16.866,1.3965965862612353,-1.7138704987914748,-3.429832472742935,-1.7369127829636843
17.115,1.3965965862612353,-1.7138704987914748,-3.3887382179585948,-1.7337465219912611
17.366,1.3965965862612353,-1.7138704987914748,-3.3404433560029645,-1.7288035486909696
17.615,1.3965965862612353,-1.7138704987914748,-3.2981154386188263,-1.727439147802638
17.866,1.3965965862612353,-1.7138704987914748,-3.249322358983651,-1.7295372150511623
18.115,1.3965965862612353,-1.7138704987914748,-3.208524420398923,-1.7331274701051438
18.366,1.3965965862612353,-1.7138704987914748,-3.161189906261931,-1.7344561251018586
18.621,1.3965965862612353,-1.7138704987914748,-3.1199470257436523,-1.732572812790339
18.865,1.3965965862612353,-1.7138704987914748,-3.0720949760667944,-1.7290360393899493
19.115,1.3965965862612353,-1.7138704987914748,-3.02951950677934,-1.728851372323388
19.365,1.3965965862612353,-1.7138704987914748,-2.9809963911596005,-1.732202423778708
19.615,3.0,-2.0,-2.9542437801849144,-1.7360421113248905
19.866,3.0,-2.0,-2.950956805874346,-1.7368762379545624
20.116,3.0,-2.0,-2.950507226841418,-1.7370187881123142
20.365,3.0,-2.0,-2.9500499705290446,-1.7371886608665956
20.622,2.2648800847464132,-2.6636911900767215,-2.943492585842441,-1.739868064989369
20.881,2.2648800847464132,-2.6636911900767215,-2.9055028343913176,-1.7502382201322606
21.115,3.0,-2.0,-2.877362664735546,-1.755850677702892
21.366,3.0,-2.0,-2.87484822996069,-1.756283170543153
21.615,3.0,-2.0,-2.874427797666516,-1.7563745966139541
21.865,3.0,-2.0,-2.8739842048651556,-1.7564964408188901
22.116,3.0,-2.0,-2.8736467653401294,-1.7566079921977757
22.368,3.0,-2.0,-2.8740962171670517,-1.756416314868196
22.616,3.0,-2.0,-2.8747306992352404,-1.756137505708
22.866,2.435149351519241,-3.503699607554565,-2.8688767275265676,-1.7591331894194384
23.115,2.435149351519241,-3.503699607554565,-2.838999212439565,-1.7754980692054316
23.366,2.435149351519241,-3.503699607554565,-2.796458149536944,-1.7959354436116488
23.615,2.435149351519241,-3.503699607554565,-2.7580329318798724,-1.810960894176161
23.865,3.0,-2.0,-2.725777224120496,-1.8198866655164894
24.117,3.0,-2.0,-2.710360132481931,-1.8205802354840455
24.365,3.0,-2.0,-2.6990527229406722,-1.819598523266935
24.615,3.0,-2.0,-2.694148234409756,-1.8188750882894584
24.865,3.0,-2.0,-2.6930880569935645,-1.818720567107212
25.115,3.0,-2.0,-2.6924898865171283,-1.8186625373041567
25.365,3.0,-2.0,-2.691908635571812,-1.8186321876312241
25.615,3.0,-2.0,-2.691274229977566,-1.81863088527125
25.865,3.0,-2.0,-2.6906660484576514,-1.818661430758652
26.116,3.0,-2.0,-2.6901778539291543,-1.8187084567680105
26.365,3.0,-2.0,-2.6900333305130015,-1.8187129263268453
26.616,3.0,-2.0,-2.690191855132952,-1.8186661026913025
26.865,3.0,-2.0,-2.690089185921999,-1.818686656297621
27.115,3.0,-2.0,-2.689743443436883,-1.8187822321022324
27.365,3.0,-2.0,-2.6893690602070293,-1.8189027668418332
27.615,3.0,-2.0,-2.689058505775908,-1.819018160111151
27.865,3.0,-2.0,-2.688715036040466,-1.8191640037168966
28.115,3.0,-2.0,-2.6884232125155014,-1.8193046421683425
28.365,3.0,-2.0,-2.688095243074693,-1.8194828115758406
28.615,3.0,-2.0,-2.6878134523927333,-1.819654436134064
28.868,3.0,-2.0,-2.687494963805309,-1.8198711065000612
29.115,3.0,-2.0,-2.6872206814148485,-1.8200789684001302
29.365,3.0,-2.0,-2.6733541694878533,-1.833589597736317
29.615,3.0,-2.0,-2.642869220919182,-1.8664621575732019
29.865,3.0,-2.0,-2.6067336158713164,-1.905705996190816
30.118,3.0,-2.0,-2.575218628571145,-1.9399402573379876
30.365,3.0,-2.0,-2.5391349893596193,-1.9791672556770648
30.615,3.0,-2.0,-2.5076060216352647,-2.0134594629506486
30.865,3.0,-2.0,-2.471573611206134,-2.05266669265409
31.115,3.0,-2.0,-2.440048410462603,-2.0870016132771307
31.365,3.0,-2.0,-2.404046866027867,-2.1262018105758633
31.616,5.918965420246406,-5.1157248773914255,-2.375299622136048,-2.1588807785366924
31.865,5.918965420246406,-5.1157248773914255,-2.3462162038502856,-2.1947020217837885
32.119,5.918965420246406,-5.1157248773914255,-2.318272048434929,-2.22523527708507
32.365,5.918965420246406,-5.1157248773914255,-2.288331906651307,-2.2537108184621464
32.615,5.918965420246406,-5.1157248773914255,-2.2518302723830854,-2.2835112711126726
32.865,5.918965420246406,-5.1157248773914255,-2.2178682711425313,-2.3072676443465405
33.116,5.918965420246406,-5.1157248773914255,-2.1774325876019764,-2.3312847090954714
33.367,5.918965420246406,-5.1157248773914255,-2.1350356696878143,-2.3520697783658395
33.615,5.918965420246406,-5.1157248773914255,-2.096696908054422,-2.3674987390386923
33.865,5.918965420246406,-5.1157248773914255,-2.051780265900911,-2.3817460123410474
34.115,5.918965420246406,-5.1157248773914255,-2.0110787586563883,-2.3932146461749695
34.366,5.918965420246406,-5.1157248773914255,-1.965392072331353,-2.4096253206862817
34.615,5.918965420246406,-5.1157248773914255,-1.9272334151255204,-2.4251138776679273
34.866,5.918965420246406,-5.1157248773914255,-1.8823321446383035,-2.43984729668548
35.116,5.918965420246406,-5.1157248773914255,-1.8419087324323171,-2.451536198911569
35.365,5.918965420246406,-5.1157248773914255,-1.8016940680524944,-2.46607896576343
35.615,5.918965420246406,-5.1157248773914255,-1.7595025782439917,-2.483728756489839
35.865,5.918965420246406,-5.1157248773914255,-1.7148397018221562,-2.499673123667654
36.127,5.918965420246406,-5.1157248773914255,-1.6752234260535641,-2.5105558466344853
36.365,5.918965420246406,-5.1157248773914255,-1.6340780884306827,-2.520031104852074
36.615,5.918965420246406,-5.1157248773914255,-1.5875919827982463,-2.5339462162633697
36.865,5.918965420246406,-5.1157248773914255,-1.542330365752993,-2.551666944977903
37.117,5.918965420246406,-5.1157248773914255,-1.5033064902175781,-2.568875817717442
37.366,5.918965420246406,-5.1157248773914255,-1.459036455540246,-2.5850354029058344
37.615,5.918965420246406,-5.1157248773914255,-1.4191897162761877,-2.5963295223889364
37.865,5.918965420246406,-5.1157248773914255,-1.372929833643279,-2.606962938190516
38.115,5.918965420246406,-5.1157248773914255,-1.3320097723808875,-2.6188376242576283
38.365,5.918965420246406,-5.1157248773914255,-1.2864234350400507,-2.635838672417709
38.616,5.918965420246406,-5.1157248773914255,-1.248979753019865,-2.651694948250172
38.868,5.918965420246406,-5.1157248773914255,-1.2042706623135575,-2.667256730090687
39.116,5.918965420246406,-5.1157248773914255,-1.1645563887788852,-2.677842230714716
39.365,5.918965420246406,-5.1157248773914255,-1.1173821872469345,-2.68922579045893
39.615,5.918965420246406,-5.1157248773914255,-1.0771156012066943,-2.702066135956087
39.866,5.918965420246406,-5.1157248773914255,-1.0318874571871341,-2.7204253812109838
40.115,5.918965420246406,-5.1157248773914255,-0.9938405906342702,-2.7376290480035985
40.365,5.918965420246406,-5.1157248773914255,-0.955091749594949,-2.7523019896109155
40.615,5.918965420246406,-5.1157248773914255,-0.9098929145332645,-2.7656831549470704
40.865,5.918965420246406,-5.1157248773914255,-0.8633608737450102,-2.777807990185968
41.117,5.918965420246406,-5.1157248773914255,-0.8229881397875605,-2.791410859110348
41.365,5.918965420246406,-5.1157248773914255,-0.7783053455634518,-2.8103051923729336
41.615,5.918965420246406,-5.1157248773914255,-0.7406219684882119,-2.8279788538029487
41.865,5.918965420246406,-5.1157248773914255,-0.6966699988301662,-2.844914624458494
42.115,5.918965420246406,-5.1157248773914255,-0.6571210218547994,-2.856884990518468
42.365,5.918965420246406,-5.1157248773914255,-0.6109119584511797,-2.8694288623805417
42.615,5.918965420246406,-5.1157248773914255,-0.5708501909972241,-2.8834519684975257
42.865,5.918965420246406,-5.1157248773914255,-0.5261032643739738,-2.900558975107853
43.115,5.918965420246406,-5.1157248773914255,-0.486792544140315,-2.9124920141197856
43.365,0.5105150477140722,-2.9130415440079815,-0.44050194492389205,-2.922878503304894
43.615,0.5336587804108588,-2.9182383501727096,-0.39981037736300096,-2.9289174185264195
43.865,0.5540028137454196,-2.921261912386532,-0.35845949547900663,-2.932124879519185
44.115,0.5776069322581053,-2.9229782979840646,-0.3113599929612271,-2.932292385393674
44.365,0.5982248035302851,-2.922957272216208,-0.2642156850900542,-2.9287451806001736
44.618,0.6217954987599372,-2.921187428208198,-0.22111455850618816,-2.923477744593156
44.865,0.643344435345648,-2.9185580385178103,-0.17258566392072044,-2.92063479012663
45.115,0.8702143432571438,-2.475872106968124,-0.13111336084044298,-2.9195941068334434
45.366,0.8840313161544818,-2.4755137436526664,-0.08405230543184497,-2.915190081036166
