time,goal_x,goal_y,x,y,er_x,er_y
6.059,-3.896870262217103,-1.834328446686623,-4.019897746487867,-1.3299334096564783,-3.773842777946338,-2.3387234837167674
6.059,-3.896870262217103,-1.834328446686623,-4.019897746487867,-1.3299334096564783,-3.773842777946338,-2.3387234837167674
6.309,-3.8963518592339557,-1.8362919665572717,-4.019893355406857,-1.3299309821245517,-3.772810363061054,-2.342652950989992
6.559,-3.896883432854893,-1.8339505532328761,-4.019888322518757,-1.3299281986778306,-3.7738785431910293,-2.337972907787922
6.809,-3.8970337283605843,-1.8330230459453667,-4.019883929607664,-1.3299257682082848,-3.7741835271135047,-2.3361203236824486
7.059,-3.897493716952497,-1.830977467346326,-4.019878894622082,-1.3299229813933364,-3.775108539282912,-2.3320319532993157
7.309,-3.8969158371894803,-1.833182363546455,-4.01987449988028,-1.3299205479827803,-3.773957174498681,-2.3364441791101296
7.559,-3.8958440799278935,-1.8374052939662606,-4.019869462796489,-1.3299177577957166,-3.771818697059298,-2.3448928301368044
7.809,-3.8961298896975487,-1.8359225161211619,-4.019865066223354,-1.32991532144075,-3.7723947131717437,-2.3419297108015735
8.059,-3.8960843156978138,-1.8359456457779963,-4.019860027040633,-1.329912527877668,-3.7723086043549943,-2.3419787636783247
8.309,-3.8970748329699045,-1.8317355763123708,-4.019855628635533,-1.329910088574887,-3.774294037304276,-2.3335610640498547
8.559,-3.8956688074868744,-1.8373185362680218,-4.019850587353162,-1.3299072916318861,-3.7714870276205876,-2.3447297809041574
8.809,-3.897065006325078,-1.831302988220949,-4.01984618711298,-1.3299048493771568,-3.774283825537176,-2.332701127064741
9.059,-3.895629691423168,-1.837000781914202,-4.019841143718643,-1.3299020490502382,-3.771418239127694,-2.344099514778166
9.309,-3.895974843995531,-1.835430078953326,-4.019836741631926,-1.329899603843859,-3.772112946359136,-2.340960554062793
9.559,-3.8968822245480075,-1.8315647193863196,-4.019831696123479,-1.3298968001345555,-3.7739327529725357,-2.3332326386380835
9.809,-3.8960131491201624,-1.8347980105566806,-4.019827292191554,-1.3298943519748039,-3.7721990060487705,-2.3397016691385573
10.059,-3.8951731457466305,-1.8380596133559814,-4.019822244568278,-1.329891544879211,-3.770524046924983,-2.346227681832752
10.309,-3.8959146238623488,-1.8348753251013685,-4.019817838790507,-1.329889093762676,-3.77201140893419,-2.339861556440061
10.559,-3.8963835186570437,-1.8328019250173189,-4.019812789051667,-1.329886283276878,-3.7729542482624208,-2.3357175667577597
10.809,-3.89595095741993,-1.8342519532502675,-4.019808381427408,-1.329883829200138,-3.7720935334124523,-2.338620077300397
11.059,-3.8958185272793635,-1.8346283408326598,-4.019803329572266,-1.329881015320215,-3.771833724986461,-2.339375666345105
11.309,-3.8962180716102965,-1.8328408961900644,-4.019798920100877,-1.3298785582798471,-3.7726372231197156,-2.3358032341002817
