time,goal_x,goal_y,x,y,er_x,er_y
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
time, goal_x, goal_y, x, y 
22.811,-4.962099022673966,1.3838622782880998,-5.17211177763918,2.7877874618635516,-4.752086267708752,-0.020062905287351995
23.061,-4.957958418174329,1.361841292159843,-5.164618101672854,2.740278419394446,-4.751298734675804,-0.0165958350747597
23.311,-5.012450762748609,1.339366157658632,-5.159644464289625,2.699405144335418,-4.865257061207592,-0.020672829018153926
23.561,-4.933949643831896,1.3241187267294001,-5.152598056720396,2.653009789856929,-4.715301230943396,-0.004772336398128907
23.811,-4.982815508412019,1.2931855491241118,-5.147949898371413,2.613010998378754,-4.817681118452624,-0.026639900130530414
24.061,-4.957151728391279,1.278324075772089,-5.1414265154527365,2.56755665700415,-4.772876941329821,-0.010908505459971796
24.311,-4.994755526308193,1.2514155325204797,-5.136391748189863,2.5266309675302936,-4.853119304426523,-0.02379990248933428
24.561,-4.925382335156263,1.2269651120426592,-5.129419557053738,2.480163631786756,-4.7213451132587885,-0.02623340770143745
24.811,-4.94424486990331,1.2102456997028062,-5.124139269707475,2.4389084760859197,-4.764350470099144,-0.018417076680307343
25.061,-4.942691965838209,1.1784717243085658,-5.11683022950255,2.3910751621273114,-4.768553702173868,-0.03413171351017974
25.311,-5.011745066604496,1.1656344489293926,-5.113301418260169,2.348668795601674,-4.910188714948823,-0.017399897742888637
25.561,-5.0811096934052475,1.1321739375986646,-5.112894926596218,2.299993140481395,-5.049324460214277,-0.035645265284065974
25.811,-5.343825911285018,1.1334225456061215,-5.115692759002483,2.2575888687268866,-5.571959063567553,0.009256222485356513
26.061,-5.41204114837866,1.120425109817338,-5.1225457458869315,2.2092369701495937,-5.701536550870388,0.03161324948508204
26.311,-5.479117654753987,1.1239805070641484,-5.1316795061538185,2.1679581585348924,-5.826555803354154,0.08000285559340448
26.561,-5.549814176230084,1.1133603961313647,-5.145821082803086,2.1212571557151856,-5.953807269657082,0.10546363654754387
26.811,-5.669121743174013,1.1460049639419774,-5.161076560487455,2.081710250260837,-6.17716692586057,0.21029967762311763
27.061,-5.735070834243181,1.1554750755161423,-5.182087448720395,2.037801884402553,-6.288054219765966,0.27314826662973135
27.311,-5.794610773334096,1.1694247680001273,-5.203248208499221,2.0009164878445667,-6.38597333816897,0.3379330481556877
27.561,-5.853329847611645,1.1855434295745504,-5.230548022890797,1.9607131235217279,-6.476111672332495,0.4103737356273729
27.811,-5.962390589574586,1.2362998660376072,-5.25700610778958,1.9275064168490144,-6.66777507135959,0.5450933152262003
28.061,-6.021284043501498,1.255602944364829,-5.290210045414334,1.8916956152239401,-6.752358041588662,0.6195102735057183
