,time, goal_x, goal_y, x, y 
350,6021.602,1.25339308833819,-2.1284665066409,0.547268466302627,-1.89233278251371
464,6050.148,-0.55382885048175,-2.18772756194634,-0.710992414464726,-2.88688473606639
274,6002.641,0.777112133764843,-2.12974226098618,0.150832413675165,-2.48683380190413
451,6046.834,-0.531993921761608,-2.6023234764622,-0.974896267035708,-2.22746237322297
596,6083.104,4.67988014395751,-2.770834379046,4.39190917064818,-2.09338055686359
1406,6286.242,1.44010266979178,-1.80198885256249,0.877422093946183,-1.40667740875637
516,6063.152,2.19776006461113,-1.32709704432521,2.16071153846602,-0.95308683483273
518,6063.635,2.06679612327849,-1.95477813699437,1.89351829638674,-1.60617570299455
301,6009.398,-0.449384837692569,-2.4262798164868,-0.450027898181072,-1.7080591254116
214,66.262,0.396904138789533,-2.09227471214071,0.108337100675988,-1.56479511327736
606,163.614,3.98910571047344,-0.92485457672441,3.43081074134695,-0.466567501486831
393,110.33,2.36692902823459,-2.57015148033741,1.67334030276392,-2.62252192234671
4100,1037.107,1.50336427344809,-3.05320706912653,1.6830123485042,-3.87893654008769
4087,1033.865,3.09821239014338,-4.84814850284274,3.08292085648138,-4.57120793440945
490,134.589,-0.502868794603225,-2.49876751288917,-1.13586694725577,-2.48451823713028
489,134.339,-0.261305802290064,-2.68418547426356,-0.347302450338021,-3.29952127855644
1250,324.595,1.3430585499184,-1.4717186385739,1.05298344490477,-1.33125552931504
1685,433.406,1.96290570916424,-1.25684232343998,1.42426166918141,-1.10339355894162
341,97.983,4.47335589019016,-1.28522875907885,4.18518694491629,-0.710339894869662
396,111.152,-0.517841682601988,-2.05880384281384,-0.914437218824092,-2.22922386484905
415,115.898,3.00959002434381,-2.13334475592094,2.47560204074058,-1.61720513004227
418,116.607,1.83458375660856,-3.71706477131922,2.12925107733936,-3.17711278827376
367,103.908,2.46182499262644,-1.80871567704271,2.47091527093424,-1.09008558445748
1483,382.859,3.83788142944227,-1.36713512947198,3.69699219945307,-1.10298725998129
584,158.1,-0.357547899045059,-2.24388541076899,-0.201776031228463,-2.24717760397573
295,85.827,1.48848903527624,-1.40159404363941,1.13975134311909,-1.37496047026967
241,72.352,2.68464801387032,-1.90268824415242,2.0039901059546,-2.17038490621831
490,135.218,3.44930530029065,-2.59262087097159,3.24381002785205,-3.29218182372009
449,124.33,3.65299242521706,-2.17222348808283,3.69874740914026,-1.98744986430349
372,105.137,2.27690531567966,-2.12134778877516,2.05633182725719,-2.08456420532341
303,87.876,2.05318109591678,-3.82860483062467,1.88032774888237,-3.21444403512472
1889,485.01,3.2761133455005,-2.01297031921733,3.08029046226446,-1.32072690424044
211,64.831,-0.623540038274004,-2.10086578856995,-0.612699831232721,-1.36918912568679
279,81.9,0.870717637854162,-2.23807089662121,0.809920187659845,-1.88981724364952
19973,5005.33,3.2946561128226,-4.74705201440262,3.21472335866066,-4.06897843081436
240,72.113,2.04464997213176,-2.97364871970661,1.33454343155924,-2.95415232173785
4372,1105.082,2.61711845957707,-2.82582526286344,2.97427212593673,-2.19055585621533
362,102.633,-0.147259760751914,-2.59461402190009,0.070778889828639,-1.87918556842457
467,128.884,2.63730327104003,-2.18796578855131,2.27183012944851,-2.53610176918654
899,236.852,0.632829540125075,-2.13832575371604,0.314677154929253,-1.58110209378071
